SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SATIA,EQ,2021-07-22,105.75,106.45,108.15,104.65,106.2,106.2,106.16,523984,556.24,5568,176698,33.72
SATIN,EQ,2021-07-22,90.45,90.7,92.5,89.0,90.2,89.7,90.23,257337,232.19,1871,181274,70.44
SBCL,EQ,2021-07-22,131.95,140.0,140.0,133.0,135.0,134.5,136.25,154166,210.05,3201,86460,56.08
SBICARD,EQ,2021-07-22,964.65,970.15,985.8,923.9,946.1,942.85,949.25,7557441,71738.64,123447,4212818,55.74
SBIETFIT,EQ,2021-07-22,297.5,299.99,302.0,296.5,302.0,301.13,299.39,2165,6.48,111,1713,79.12
SBIETFPB,EQ,2021-07-22,180.41,183.0,183.0,181.0,182.04,181.99,181.69,478,0.87,41,274,57.32
SBIETFQLTY,EQ,2021-07-22,140.88,140.88,144.0,139.11,141.69,141.49,141.87,9308,13.21,99,8266,88.81
SBILIFE,EQ,2021-07-22,1014.75,1017.0,1038.8,1017.0,1028.0,1026.0,1030.31,915518,9432.72,39460,317117,34.64
SBIN,EQ,2021-07-22,420.9,425.55,426.7,420.9,422.25,422.05,424.24,11799761,50059.87,145497,3403902,28.85
SCAPDVR,EQ,2021-07-22,2.25,2.2,2.2,2.15,2.15,2.15,2.15,152699,3.29,228,150365,98.47
SCHAEFFLER,EQ,2021-07-22,5400.55,5610.0,6025.0,5534.25,5840.0,5810.75,5698.5,208732,11894.59,20089,144071,69.02
SCHAND,EQ,2021-07-22,137.8,139.65,141.25,135.65,138.6,137.0,138.02,100070,138.12,2856,67368,67.32
SCHNEIDER,EQ,2021-07-22,123.05,125.0,127.1,123.9,125.0,124.65,125.42,658553,825.97,8202,168406,25.57
SCI,EQ,2021-07-22,113.2,113.4,115.2,111.35,113.0,112.65,113.62,1982063,2252.04,10077,687719,34.70
SDBL,EQ,2021-07-22,51.95,53.8,54.5,51.2,54.5,54.25,53.58,1902632,1019.4,7962,1292071,67.91
SEAMECLTD,EQ,2021-07-22,466.65,477.0,477.0,466.55,467.9,469.45,470.66,2495,11.74,293,1467,58.80
SECURKLOUD,EQ,2021-07-22,87.6,88.0,88.2,86.15,88.1,87.95,87.56,27280,23.89,676,17386,63.73
SELAN,EQ,2021-07-22,142.75,146.0,146.65,142.1,142.7,142.8,143.59,61656,88.53,1998,41046,66.57
SEPOWER,EQ,2021-07-22,9.45,9.9,9.9,9.9,9.9,9.9,9.9,7207,0.71,21,7207,100.00
SEQUENT,EQ,2021-07-22,302.15,305.0,312.6,304.0,306.35,307.0,308.35,1082815,3338.81,19860,338777,31.29
SESHAPAPER,EQ,2021-07-22,205.35,207.0,215.2,205.35,210.7,211.5,209.95,244863,514.08,9901,83171,33.97
SETCO,EQ,2021-07-22,21.55,22.3,22.3,20.95,21.1,21.15,21.3,211305,45.01,694,150565,71.25
SETF10GILT,EQ,2021-07-22,205.43,204.0,206.0,204.0,206.0,206.0,204.58,12,0.02,6,8,66.67
SETFGOLD,EQ,2021-07-22,4266.1,4229.8,4244.4,4205.5,4234.0,4234.85,4232.09,6825,288.84,985,2593,37.99
SETFNIF50,EQ,2021-07-22,159.45,169.0,169.0,159.76,161.19,161.16,161.17,241018,388.44,1528,217918,90.42
SETFNIFBK,EQ,2021-07-22,344.32,345.0,350.0,345.0,347.0,346.53,347.81,24504,85.23,756,12402,50.61
SETFNN50,EQ,2021-07-22,404.3,405.99,409.88,402.86,409.45,408.91,407.39,9471,38.58,544,7901,83.42
SEYAIND,EQ,2021-07-22,81.1,83.0,85.0,81.9,83.4,83.3,83.61,223540,186.9,3525,146307,65.45
SFL,EQ,2021-07-22,2398.85,2410.85,2420.0,2355.65,2398.9,2380.55,2388.47,26473,632.3,8396,15456,58.38
SGL,EQ,2021-07-22,14.9,15.1,15.6,15.1,15.35,15.35,15.33,170177,26.08,535,97273,57.16
SHAKTIPUMP,EQ,2021-07-22,822.8,775.0,793.9,750.1,765.0,765.4,772.69,549972,4249.57,28513,269623,49.02
SHALBY,EQ,2021-07-22,188.85,190.85,195.85,189.8,190.75,191.45,192.88,240158,463.21,4847,70419,29.32
SHALPAINTS,EQ,2021-07-22,112.55,113.75,114.7,111.45,111.8,112.05,113.11,290132,328.15,4661,157005,54.12
SHANKARA,EQ,2021-07-22,528.7,532.5,547.2,529.85,536.0,533.65,538.27,275203,1481.32,10703,70033,25.45
SHANTIGEAR,EQ,2021-07-22,144.45,149.9,155.0,149.45,151.0,150.5,151.91,157345,239.03,3417,73672,46.82
SHARDACROP,EQ,2021-07-22,344.35,349.9,352.5,343.75,345.0,344.5,345.3,120636,416.55,5225,77625,64.35
SHAREINDIA,EQ,2021-07-22,518.3,528.7,537.0,513.0,532.0,532.05,524.12,77635,406.9,4693,31881,41.07
SHARIABEES,EQ,2021-07-22,404.35,411.96,483.8,405.85,406.66,406.81,418.23,7179,30.02,367,2540,35.38
SHEMAROO,EQ,2021-07-22,134.15,138.85,140.85,136.85,140.85,140.85,140.47,166002,233.19,1732,109777,66.13
SHILPAMED,EQ,2021-07-22,661.75,667.45,670.4,638.0,644.45,642.5,651.8,798345,5203.61,17906,244013,30.56
SHIVAMAUTO,EQ,2021-07-22,25.45,25.45,26.7,25.45,26.45,26.25,26.47,132823,35.16,625,97756,73.60
SHIVAMILLS,EQ,2021-07-22,90.35,90.95,94.65,90.0,90.0,90.85,91.72,81698,74.94,796,56757,69.47
SHIVATEX,EQ,2021-07-22,196.0,196.0,201.0,192.0,196.0,195.9,194.74,14439,28.12,1114,6846,47.41
SHK,EQ,2021-07-22,164.85,167.0,168.5,163.05,164.3,164.45,164.89,189324,312.18,3477,111462,58.87
