MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,NB,IBUCCREDIT,SERENCD8.84%SRVICIII&IV,       920.00,       922.00,       922.00,       922.00,       922.00,                    92200.00,100, ,4,      1080.00,       700.00
N,NB,INDIGRID,SEC RE NCD 6.75% SR. I,       990.00,       990.11,       990.11,       990.11,       990.11,                    11881.32,12, ,1,      1001.00,       990.00
N,NB,TCFSL,SERENCD8.80%SRICIII&IV,      1066.50,      1066.00,      1067.00,      1065.50,      1066.50,                   258044.50,242, ,9,      1108.00,      1016.00
N,NC,DHFL,SEC RED NCD 9.30% SR. 6B,       360.00,       372.90,       372.90,       371.00,       371.00,                     2231.70,6, ,2,       384.50,       200.00
N,NC,IDFCFIRSTB,BOND 0% 2022 TR-2 SR-II,     10892.50,     10890.00,     10900.00,     10850.51,     10900.00,                   348492.00,32, ,12,     11055.00,      9635.00
N,NC,NHAI,TAX FREE 7.29% SR. IB,      1163.00,      1161.00,      1161.00,      1161.00,      1161.00,                   205497.00,177, ,1,      1439.90,      1110.02
N,ND,HUDCO,8.76% TAX FREETRI SR2B,      1305.10,      1305.15,      1309.90,      1303.00,      1305.71,                   947329.50,726, ,19,      1498.00,      1253.00
N,ND,IDFCFIRSTB,BOND 8.43% 2022 TR-3 SR-I,      5140.00,      5140.00,      5140.00,      5140.00,      5140.00,                    20560.00,4, ,1,      5890.00,      4971.01
N,ND,INDIGRID,SEC RE NCD 7.60% SR.II,      1010.00,      1006.00,      1007.00,      1006.00,      1007.00,                    22152.00,22, ,3,      1020.00,       900.00
N,ND,IRFC,BOND 8.44% PA TF TII-SIB,      1123.00,      1125.00,      1125.00,      1123.00,      1123.00,                   533435.00,475, ,6,      1438.00,      1100.70
N,ND,NTPC,TFB 7.62% 2035 SR. 3B,      1360.00,      1347.06,      1350.30,      1347.06,      1350.30,                   284486.66,211, ,5,      1568.00,      1272.00
N,ND,TCFSL,SERENCD8.90%SRIICIII&IV,      1109.98,      1106.16,      1114.90,      1106.16,      1112.82,                  1555014.62,1397, ,41,      1152.00,      1040.00
N,NE,ECLFINANCE,SEC RED NCD SR. I,      1280.00,      1280.00,      1280.00,      1280.00,      1280.00,                    12800.00,10, ,1,      1299.95,       980.00
N,NE,HUDCO,9.01% TAX FREETRII SR3B,      1454.05,      1460.00,      1470.00,      1450.10,      1450.55,                  1509634.19,1040, ,33,      1549.00,      1389.00
N,NE,IIFL,UNSE RE NCD 10% SR.I,      1006.32,      1000.04,      1012.00,      1000.04,      1006.81,                  1473194.00,1462, ,39,      1090.00,       901.10
N,NE,IRFC,BOND 8.88% PA TF TII-SIIB,      1291.12,      1314.00,      1314.00,      1300.00,      1302.13,                   152359.00,117, ,8,      1454.67,      1201.00
N,NE,L&TFINANCE,SERENCD 8.89% SR.IV OPII,      1075.55,      1055.00,      1080.00,      1055.00,      1075.00,                    16125.00,15, ,2,      1254.00,      1000.06
N,NE,NHAI,TAX FREE 7.69% SR. IIB,      1277.00,      1273.00,      1285.00,      1273.00,      1280.00,                  2744075.32,2142, ,64,      1318.99,      1225.10
N,NF,DHANILOANS,DHANI LOANS & SERV LTD,       990.05,       960.00,      1000.00,       960.00,      1000.00,                   418804.50,420, ,15,      1005.00,       801.00
N,NF,ECLFINANCE,SEC RED NCD 9.45% SR. II,      1067.00,      1068.00,      1070.00,      1063.21,      1066.95,                   213254.30,200, ,14,      1073.99,       900.50
N,NF,IIFL,UNSE RE NCD 9.6% SR.II,      1004.15,      1005.18,      1008.93,      1004.00,      1004.07,                  7339883.09,7305, ,84,      1010.00,       985.00
N,NF,TCFSL,UNSERENCD9.1%SRIIICIII&IV,      1201.00,      1197.05,      1197.05,      1195.00,      1196.00,                   179391.00,150, ,6,      1230.00,      1066.00
N,NG,ECLFINANCE,SEC RED NCD 9.25% SR. III,       978.00,       994.00,       994.00,       979.00,       979.00,                    54406.00,55, ,6,       994.00,       757.00
N,NG,IFCI,SRNCD SR V,      1850.00,      1831.00,      1831.00,      1831.00,      1831.00,                     3662.00,2, ,1,      1850.00,      1552.50
