MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,EQ,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,      3527.35,      3540.00,      3544.95,      3479.55,      3486.00,                282412847.30,80677,N, ,5061,      3757.15,      2212.65
N,EQ,BANDHANBNK,BANDHAN BANK LIMITED,       314.85,       315.00,       321.65,       313.15,       320.00,               1780861014.45,5580965,N, ,63451,       430.70,       248.55
N,EQ,BANKBARODA,BANK OF BARODA,        81.85,        82.60,        84.10,        81.85,        82.90,               3994698457.95,48213715,N, ,87880,        99.85,        39.50
N,EQ,BERGEPAINT,BERGER PAINTS (I) LTD,       796.35,       796.35,       812.90,       795.00,       810.65,                604573913.40,750561,N, ,19480,       842.75,       470.00
N,EQ,BIOCON,BIOCON LIMITED.,       384.90,       384.50,       392.00,       383.25,       389.05,               1288006533.50,3314421,N, ,40128,       487.75,       363.25
N,EQ,BOSCHLTD,BOSCH LIMITED,     15636.85,     15798.65,     15870.00,     15570.00,     15649.25,                492614228.20,31299,N, ,7810,     16830.05,     10200.00
N,EQ,CADILAHC,CADILA HEALTHCARE LIMITED,       636.50,       639.95,       641.50,       634.20,       636.15,               2074234568.05,3255819,N, ,54649,       673.70,       347.05
N,EQ,COLPAL,COLGATE PALMOLIVE LTD.,      1696.65,      1696.10,      1717.90,      1688.05,      1710.60,                481443039.55,281761,N, ,20256,      1794.85,      1306.00
N,EQ,CONCOR,CONTAINER CORP OF IND LTD,       713.55,       727.80,       748.00,       707.75,       719.70,               5244164056.05,7207731,N, ,148117,       748.00,       351.00
N,EQ,DABUR,DABUR INDIA LTD,       544.05,       545.15,       550.00,       542.40,       548.50,               1126868609.40,2061081,N, ,33522,       581.90,       431.00
N,EQ,DLF,DLF LIMITED,       296.95,       298.80,       304.20,       296.20,       298.65,               1672308584.45,5565442,N, ,44188,       332.70,       134.50
N,EQ,DMART,AVENUE SUPERMARTS LIMITED,      3197.00,      3219.95,      3221.60,      3175.05,      3188.95,                628976079.50,196757,N, ,19822,      3330.00,      1954.85
N,EQ,GICRE,GENERAL INS CORP OF INDIA,       200.65,       202.85,       203.60,       200.10,       201.15,                141660640.95,702282,N, ,11901,       244.20,       115.00
N,EQ,GODREJCP,GODREJ CONSUMER PRODUCTS,       852.55,       855.00,       858.00,       847.00,       849.10,                478167646.90,561596,N, ,19595,       892.00,       591.25
N,EQ,HAVELLS,HAVELLS INDIA LIMITED,      1056.80,      1060.00,      1067.75,      1046.65,      1050.80,               1090403588.55,1031807,N, ,27252,      1231.90,       525.00
N,EQ,HDFCAMC,HDFC AMC LIMITED,      3067.60,      3068.00,      3069.95,      3004.00,      3032.70,                431696132.10,142526,N, ,17392,      3358.90,      2070.05
N,EQ,HINDPETRO,HINDUSTAN PETROLEUM CORP,       298.80,       301.00,       302.90,       297.00,       301.10,               1228576002.55,4089354,N, ,50759,       302.90,       162.90
N,EQ,HINDZINC,HINDUSTAN ZINC LIMITED,       333.70,       337.60,       341.00,       334.15,       339.85,               1184997314.10,3505337,N, ,41982,       362.10,       166.85
N,EQ,ICICIGI,ICICI LOMBARD GIC LIMITED,      1447.50,      1456.00,      1457.25,      1435.15,      1444.35,               1002791628.15,694398,N, ,63472,      1626.45,      1200.00
N,EQ,ICICIPRULI,ICICI PRU LIFE INS CO LTD,       578.25,       581.10,       584.65,       575.60,       582.15,                934226648.65,1608520,N, ,44504,       584.65,       380.00
N,EQ,IGL,INDRAPRASTHA GAS LTD,       524.20,       531.45,       534.00,       526.00,       528.40,               1462444721.10,2760711,N, ,41965,       594.85,       364.10
N,EQ,INDIGO,INTERGLOBE AVIATION LTD,      1754.45,      1754.45,      1850.05,      1742.75,      1755.45,               4719672182.15,2648012,N, ,105190,      1850.05,       875.25
N,EQ,LTI,L&T INFOTECH LIMITED,      3856.60,      3851.25,      3907.10,      3808.95,      3889.80,                579974337.20,149995,N, ,16028,      4483.00,      1801.00
N,EQ,LUPIN,LUPIN LIMITED,      1231.50,      1231.95,      1237.70,      1223.15,      1233.55,               1280235395.65,1039414,N, ,30585,      1267.65,       828.40
N,EQ,MARICO,MARICO LIMITED,       486.90,       487.00,       491.35,       482.30,       489.30,               1029453389.20,2108524,N, ,28704,       498.60,       315.00
N,EQ,MCDOWELL-N,UNITED SPIRITS LIMITED,       629.35,       635.00,       642.00,       626.50,       633.35,               1805016736.00,2846455,N, ,63156,       661.65,       494.00
N,EQ,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LT,       252.05,       253.00,       257.75,       252.50,       253.35,               3252009008.05,12765813,N, ,101139,       272.85,        86.25
N,EQ,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,      1509.35,      1510.00,      1525.65,      1486.00,      1513.15,               3091884475.90,2055428,N, ,72066,      1550.00,       905.00
N,EQ,NAUKRI,INFO EDGE (I) LTD,      4571.40,      4565.00,      4699.00,      4564.10,      4661.70,               3060249184.60,659745,N, ,54870,      5880.00,      2520.00
N,EQ,NMDC,NMDC LTD.,       193.30,       195.20,       195.20,       181.35,       182.30,               5463956700.25,29156239,N, ,138116,       213.20,        75.60
N,EQ,OFSS,ORACLE FIN SERV SOFT LTD.,      3514.95,      3515.00,      3574.95,      3485.25,      3557.55,                252872116.45,71579,N, ,6826,      3795.00,      2500.00
N,EQ,PEL,PIRAMAL ENTERPRISES LTD,      1928.10,      1939.80,      2055.00,      1905.85,      1960.75,               5929117658.75,2987925,N, ,125922,      2055.00,       990.00
N,EQ,PETRONET,PETRONET LNG LIMITED,       244.95,       246.00,       250.00,       245.05,       249.35,                668901678.50,2694351,N, ,30572,       280.75,       207.25
N,EQ,PFC,POWER FIN CORP LTD.,       122.20,       122.95,       126.00,       121.50,       125.75,               1045968786.75,8393705,N, ,39880,       140.50,        78.85
N,EQ,PGHH,P&G HYGIENE & HEALTH CARE,     12847.30,     12999.95,     12999.95,     12855.90,     12900.05,                200769259.80,15561,N, ,2124,     14122.00,      9691.40
N,EQ,PIDILITIND,PIDILITE INDUSTRIES LTD,      2079.40,      2085.95,      2102.00,      2076.00,      2084.40,                816788187.45,390899,N, ,25879,      2124.00,      1306.95
N,EQ,PNB,PUNJAB NATIONAL BANK,        43.10,        43.00,        43.10,        41.85,        42.10,               6633568263.85,157004801,N, ,192053,        46.35,        26.30
N,EQ,SBICARD,SBI CARDS & PAY SER LTD,      1049.65,      1050.00,      1052.90,      1042.00,      1044.30,                612117072.20,585437,N, ,20652,      1139.00,       552.50
N,EQ,SIEMENS,SIEMENS LTD,      2119.75,      2133.00,      2148.95,      2106.65,      2110.90,                484651678.15,228136,N, ,14073,      2178.00,      1019.15
N,EQ,TATACONSUM,TATA CONSUMER PRODUCT LTD,       686.95,       690.00,       707.00,       687.30,       699.95,               2458513702.15,3511853,N, ,77473,       707.00,       360.25
N,EQ,TORNTPHARM,TORRENT PHARMACEUTICALS L,      2811.55,      2820.00,      2837.35,      2790.15,      2824.80,                588671719.90,208895,N, ,14434,      3031.20,      2231.85
N,EQ,UBL,UNITED BREWERIES LTD,      1337.10,      1349.95,      1381.95,      1322.00,      1346.05,               2033704751.90,1499139,N, ,60753,      1381.95,       897.00
 ,EQ, , , , , , , , , , , , , , 
 ,EQ, ,COMPULSORY ROLLING STOCKS, , , , , , , , , , , , 
N,EQ,20MICRONS,20 MICRONS LTD,        61.90,        64.00,        64.25,        62.20,        63.30,                 19523636.35,308284,N, ,2627,        74.90,        25.35
N,EQ,21STCENMGM,21ST CENTURY MGMT SERVICE,        16.25,        16.55,        16.55,        16.55,        16.55,                     6901.35,417,N, ,7,        16.55,         9.45
N,EQ,3IINFOTECH,3I INFOTECH LTD.,         8.85,         8.90,         9.10,         8.80,         8.85,                158188891.70,17716925,N, ,14882,         9.80,         2.10
N,EQ,3MINDIA,3M INDIA LIMITED,     26110.45,     26299.00,     26440.00,     26164.40,     26339.65,                 38289023.25,1456,N, ,1064,     31000.00,     17000.05
N,EQ,3PLAND,3P LAND HOLDINGS LIMITED,        13.80,        13.80,        14.15,        13.60,        13.75,                   298307.55,21579,N, ,162,        17.10,         5.10
N,EQ,5PAISA,5PAISA CAPITAL LIMITED,       417.10,       415.90,       423.50,       396.25,       399.55,                 81029509.40,197862,N, ,6183,       465.00,       152.80
N,SM,AAATECH,AAA TECHNOLOGIES LIMITED,        58.50,        55.00,        61.45,        55.00,        61.00,                  1966650.00,33000,N, ,11,        68.00,        42.00
N,EQ,AAKASH,AAKASH EXPLORATION SER L,       163.65,       166.60,       166.60,       162.45,       166.00,                  6312728.00,38059,N, ,669,       169.80,        48.35
N,EQ,AARTIDRUGS,AARTI DRUGS LTD.,       759.70,       764.70,       766.90,       752.00,       752.65,                235078404.20,310559,N, ,10417,      3719.00,       615.65
